,id,dealerName,roundCode,resultRaw,betTypeResult
102,520607,Jasmine,58792036,"3,5,6","BIG,EVEN,"
101,520608,Jasmine,58792097,"1,5,6","BIG,EVEN,"
100,520609,Jasmine,58792157,"1,3,5","SMALL,ODD,"
99,520610,Jasmine,58792214,"3,5,6","BIG,EVEN,"
98,520611,Jasmine,58792273,"2,4,5","BIG,ODD,"
97,520612,Jasmine,58792332,"4,4,6","BIG,EVEN,"
96,520613,Jasmine,58792390,"1,2,4","SMALL,ODD,"
95,520614,Jasmine,58792443,"1,2,6","SMALL,ODD,"
94,520615,Jasmine,58792497,"2,3,4","SMALL,ODD,"
93,520616,Jasmine,58792551,"2,5,6","BIG,ODD,"
92,520617,Jasmine,58792605,"3,4,4","BIG,ODD,"
91,520618,Jasmine,58792660,"1,6,6","BIG,ODD,"
90,520619,Jasmine,58792714,"2,5,5","BIG,EVEN,"
89,520620,Jasmine,58792767,"1,6,6","BIG,ODD,"
88,520621,Jasmine,58792824,"1,4,4","SMALL,ODD,"
87,520622,Jasmine,58792881,"3,5,6","BIG,EVEN,"
86,520623,Jasmine,58792932,"2,6,6","BIG,EVEN,"
85,520624,Kimm,58792999,"1,4,4","SMALL,ODD,"
84,520625,Kimm,58793060,"4,6,6","BIG,EVEN,"
83,520626,Kimm,58793113,"4,5,6","BIG,ODD,"
82,520627,Kimm,58793165,"2,2,5","SMALL,ODD,"
81,520628,Kimm,58793226,"1,1,5","SMALL,ODD,"
80,520629,Kimm,58793278,"4,5,6","BIG,ODD,"
79,520630,Kimm,58793335,"1,2,3","SMALL,EVEN,"
78,520631,Kimm,58793386,"2,3,4","SMALL,ODD,"
77,520632,Kimm,58793438,"1,3,5","SMALL,ODD,"
76,520633,Kimm,58793497,"2,6,6","BIG,EVEN,"
75,520634,Kimm,58793545,"5,5,6","BIG,EVEN,"
74,520635,Kimm,58793598,"2,3,5","SMALL,EVEN,"
73,520636,Kimm,58793651,"2,3,3","SMALL,EVEN,"
72,520637,Kimm,58793703,"3,3,5","BIG,ODD,"
71,520638,Kimm,58793759,"1,4,4","SMALL,ODD,"
70,520639,Kimm,58793814,"1,4,5","SMALL,EVEN,"
69,520640,Kimm,58793874,"1,5,5","BIG,ODD,"
68,520641,Kimm,58793923,"2,3,6","BIG,ODD,"
67,520642,Olivia,58794005,"1,2,4","SMALL,ODD,"
66,520643,Olivia,58794060,"2,4,6","BIG,EVEN,"
65,520644,Olivia,58794115,"2,3,4","SMALL,ODD,"
64,520645,Olivia,58794170,"3,4,5","BIG,EVEN,"
63,520646,Olivia,58794228,"1,2,6","SMALL,ODD,"
62,520647,Olivia,58794283,"1,4,6","BIG,ODD,"
61,520648,Olivia,58794336,"1,2,3","SMALL,EVEN,"
60,520649,Olivia,58794393,"3,6,6","BIG,ODD,"
59,520650,Olivia,58794447,"2,3,4","SMALL,ODD,"
58,520651,Olivia,58794501,"1,3,5","SMALL,ODD,"
57,520652,Olivia,58794558,"4,5,5","BIG,EVEN,"
56,520653,Olivia,58794614,"2,3,5","SMALL,EVEN,"
55,520654,Olivia,58794668,"3,4,5","BIG,EVEN,"
54,520655,Olivia,58794722,"4,4,6","BIG,EVEN,"
53,520656,Olivia,58794781,"1,3,3","SMALL,ODD,"
52,520657,Olivia,58794833,"2,3,5","SMALL,EVEN,"
51,520658,Olivia,58794889,"1,5,5","BIG,ODD,"
50,520659,Jasmine,58794944,"5,6,6","BIG,ODD,"
49,520660,Jasmine,58795002,"1,4,6","BIG,ODD,"
48,520661,Jasmine,58795058,"3,4,4","BIG,ODD,"
47,520662,Jasmine,58795109,"1,4,5","SMALL,EVEN,"
46,520663,Jasmine,58795162,"1,3,4","SMALL,EVEN,"
45,520664,Jasmine,58795217,"3,3,5","BIG,ODD,"
44,520665,Jasmine,58795272,"3,4,5","BIG,EVEN,"
43,520666,Jasmine,58795325,"2,2,6","SMALL,EVEN,"
42,520667,Jasmine,58795378,"2,3,6","BIG,ODD,"
41,520668,Jasmine,58795430,"2,3,5","SMALL,EVEN,"
40,520669,Jasmine,58795483,"2,3,4","SMALL,ODD,"
39,520670,Jasmine,58795534,"1,2,4","SMALL,ODD,"
38,520671,Jasmine,58795589,"4,4,6","BIG,EVEN,"
37,520672,Jasmine,58795640,"2,4,6","BIG,EVEN,"
36,520673,Jasmine,58795690,"2,3,5","SMALL,EVEN,"
35,520674,Jasmine,58795741,"1,2,5","SMALL,EVEN,"
34,520675,Jasmine,58795794,"2,3,3","SMALL,EVEN,"
33,520676,Jasmine,58795847,"3,3,5","BIG,ODD,"
32,520677,Kimm,58795896,"1,2,6","SMALL,ODD,"
31,520678,Kimm,58795950,"3,3,5","BIG,ODD,"
30,520679,Kimm,58796000,"1,1,4","SMALL,EVEN,"
29,520680,Kimm,58796055,"1,2,3","SMALL,EVEN,"
28,520681,Kimm,58796105,"2,2,4","SMALL,EVEN,"
27,520682,Kimm,58796157,"1,4,6","BIG,ODD,"
26,520683,Kimm,58796213,"1,3,5","SMALL,ODD,"
25,520684,Kimm,58796264,"1,2,6","SMALL,ODD,"
24,520685,Kimm,58796316,"3,4,4","BIG,ODD,"
23,520686,Kimm,58796382,"3,3,4","SMALL,EVEN,"
22,520687,Kimm,58796434,"1,5,6","BIG,EVEN,"
21,520688,Kimm,58796489,"1,3,5","SMALL,ODD,"
20,520689,Kimm,58796548,"2,2,5","SMALL,ODD,"
19,520690,Kimm,58796598,"1,1,2","SMALL,EVEN,"
18,520691,Kimm,58796651,"3,6,6","BIG,ODD,"
17,520692,Kimm,58796710,"2,4,5","BIG,ODD,"
16,520693,Kimm,58796773,"1,1,5","SMALL,ODD,"
15,520694,Kimm,58796847,"1,3,4","SMALL,EVEN,"
14,520695,Olivia,58796903,"4,5,6","BIG,ODD,"
13,520696,Olivia,58796957,"1,4,6","BIG,ODD,"
12,520697,Olivia,58797011,"3,4,4","BIG,ODD,"
11,520698,Olivia,58797068,"4,6,6","BIG,EVEN,"
10,520699,Olivia,58797122,"3,4,4","BIG,ODD,"
9,520700,Olivia,58797180,"3,3,5","BIG,ODD,"
8,520701,Olivia,58797234,"1,1,5","SMALL,ODD,"
7,520702,Olivia,58797282,"3,3,6","BIG,EVEN,"
6,520703,Olivia,58797339,"4,4,5","BIG,ODD,"
5,520704,Olivia,58797397,"3,4,6","BIG,ODD,"
4,520705,Olivia,58797453,"1,3,5","SMALL,ODD,"
3,520706,Olivia,58797506,"3,5,6","BIG,EVEN,"
2,520707,Olivia,58797559,"1,3,6","SMALL,EVEN,"
1,520708,Olivia,58797613,"4,4,5","BIG,ODD,"
2,520709,Olivia,58797664,"3,4,6","BIG,ODD,"
1,520710,Olivia,58797714,"1,2,4","SMALL,ODD,"
6,520711,Olivia,58797768,"2,2,6","SMALL,EVEN,"
5,520712,Jasmine,58797832,"1,3,4","SMALL,EVEN,"
4,520713,Jasmine,58797889,"5,5,6","BIG,EVEN,"
